DEPENDENCY_ID,DIRECT_DEPENDENCY,INSTRUCTION_COVERED,INSTRUCTION_TOTAL,METHOD_COVERED,METHOD_TOTAL,CLASS_COVERED,CLASS_TOTAL
jline:jline:2.14.6,false,0,34390,0,932,0,96
org.mockito:mockito-all:1.10.19,true,15697,80472,837,3643,205,610
org.fusesource.jansi:jansi:1.12,false,0,0,0,0,0,0
log4j:log4j:1.2.17,false,0,45800,0,2216,0,295
org.scala-lang:scala-compiler:2.13.1,true,0,1006799,0,48125,0,3184
org.scala-lang:scala-library:2.13.1,true,0,348739,0,32492,0,2389
org.scala-lang:scala-reflect:2.13.1,false,0,300094,0,19144,0,1246
org.slf4j:slf4j-log4j12:1.7.24,true,0,1510,0,104,0,11
org.slf4j:slf4j-api:1.7.24,true,0,2841,0,306,0,19
